id,,topic,text
1,,General introduction to surgery,"Sushruta Samhita begins by establishing surgery as one of the eight principal branches of Ayurveda, emphasizing that surgery is the most direct method of removing disease when medicinal and palliative therapies prove insufficient. The text highlights the importance of a surgeon having both theoretical knowledge of anatomy and physiology and practical skill in handling instruments and performing procedures. Sushruta classifies surgical interventions broadly into eight types: excision (chedya), scarification (lekhya), puncturing (vedhya), exploration (esya), extraction (ahrya), evacuation (vsraya), suture (sivya), and cauterization (dahana), which together cover the majority of operative work he describes. The treatise also stresses preoperative measures such as patient selection, proper timing, and the use of sedation or local anesthesia derived from herbal preparations to minimize pain and shock."
2,,Training and ethics of the surgeon,"These chapters outline the education and behavior expected of a surgeon in Sushruta’s system, treating surgery as a disciplined art as much as a technical skill. The text prescribes systematic training in human anatomy, achieved through dissection of cadavers using natural media such as water channels and soft mud to visualize the positions of vessels, muscles, bones, and joints before actual operative practice. Sushruta insists that the surgeon must master the names, numbers, and locations of body parts, including differences between men and women, in order to perform safe and accurate operations. In addition, the surgeon is expected to maintain cleanliness, use properly sterilized instruments, choose appropriate assistants, and avoid arrogance or negligence, as these are considered critical to preventing infection and postoperative complications."
3,,Classification of surgical procedures and instruments,"Here Sushruta systematically classifies surgical procedures and the instruments used for them, providing one of the earliest known surgical manuals in the world. The eight main types of surgical actions—excision, incision, scraping, puncturing, exploration, extraction, evacuation, and suturing—are associated with specific indications, such as removing tumors, draining abscesses, or excising fistulas. The text lists over one hundred surgical tools, including various types of knives (suci), scalpels (kushapatra), probes (atimukha, sararimukha), forceps, and specialized instruments for cauterization, many of which bear functional resemblance to modern surgical instruments. Each instrument is described with regard to its shape, handle design, and intended use, reflecting a deep understanding of biomechanics and tissue response."
4,,Surgical instruments and their preparation,"These chapters elaborate on the materials, shapes, and preparation of surgical instruments, underscoring the importance of sharpness, balance, and sterility in operative work. Sushruta recommends that instruments be made from good‑quality metals, properly sharpened, and cleaned with appropriate herbal washes or heat before use to prevent suppuration and infection. He also describes methods for testing the sharpness of blades and the suitability of probes for entering body cavities without causing unnecessary trauma. The text prescribes the use of lancets for small punctures, larger scalpels for deep incisions, and specialized hooks and retractors for manipulating tissues, all tailored to the nature of the lesion and the site of surgery. This systematic attention to the design and handling of instruments reflects an early attempt at standardizing surgical practice."
5,,Preoperative and para‑surgical procedures,"Preoperative and para‑surgical measures form a key focus of these chapters, where Sushruta lays down protocols for patient preparation, wound care, and postoperative management. The text prescribes purificatory measures such as mild emesis or purgation, application of soothing ointments, and local anesthetizing preparations before cutting or cauterization to reduce pain and systemic disturbance. Sushruta emphasizes cleanliness of the surgical site, the use of antiseptic plant‑based washes, and the application of powdered herbal mixtures to control bleeding and promote healing. The treatise also outlines measures to manage shock, fever, and suppuration after surgery, including rest, dietary regulation, and the use of cooling or cleansing herbal formulations tailored to the patient’s constitution."
6,,Hemostasis and wound management,"In these sections Sushruta details techniques for controlling bleeding during and after surgery, as well as methods for treating different types of wounds. He describes mechanical means such as pressure, twisting of vessels, and tying with threads, alongside the application of styptic powders and pastes made from astringent herbs to arrest hemorrhage. The text classifies wounds according to their shape, depth, and cause, and prescribes different dressings and ointments for fresh cuts, torn injuries, and chronic ulcers. Sushruta also recommends the use of properly bandaged dressings to immobilize injured areas, prevent secondary infection, and support natural granulation and contraction of tissues during healing."
7,,Plastic and reconstructive surgery (rhinoplasty),"Perhaps the most famous contribution of Sushruta Samhita is its detailed description of nasal reconstruction, or rhinoplasty, using a flap of skin from the cheek. The text outlines the exact steps: marking the defect, cutting a flap of appropriate size, elevating it with minimal trauma, and suturing it into position while preserving blood supply. Sushruta prescribes specific postoperative care, including the use of a supporting frame, antiseptic dressings, and gradual removal of sutures to prevent deformity and infection. The techniques described in these chapters demonstrate a sophisticated understanding of tissue viability, vascular supply, and the principles of flap‑based reconstruction that prefigure modern plastic surgery."
8,,Management of fractures and dislocations (orthopedic surgery),"Sushruta devotes several chapters to the diagnosis and treatment of fractures and dislocations, describing categories such as simple, compound, comminuted, and displaced fractures. He recommends careful examination of the site, palpation, and functional assessment to determine the type of injury and the appropriate method of reduction. The text prescribes four main para‑surgical measures: traction (anchana), compression (pidana), immobilization (samksepa), and bandaging (bandana), which together form an early orthopedic protocol still recognizable in modern practice. For fractures of the skull, rib, vertebrae, and long bones, Sushruta specifies splinting with wooden or padded supports, gradual loading of weight, and the use of herbal poultices to reduce swelling and pain."
9,,Anorectal and perianal surgeries,"Here Sushruta describes surgical interventions for hemorrhoids (arsas), fistula‑in‑ano (bhagandara), and fissure‑in‑ano (parikartika), laying out precise operative techniques. For hemorrhoids, the text prescribes excision, cautery, or ligature depending on the size and severity, combined with preoperative measures to reduce venous congestion and postoperative dressings to prevent infection. In fistula‑in‑ano, he recommends probing the tract, excising or scraping it, and packing the wound with medicated lint to promote controlled granulation and prevent recurrence. Sushruta also details the importance of keeping the anal region clean, regulating diet, and avoiding strain during defecation to support healing and prevent fresh lesions."
10,,Treatment of ulcers and chronic wounds,"These chapters focus on the etiology, classification, and management of ulcers, distinguishing between acute traumatic sores and chronic, non‑healing lesions. Sushruta explains that ulcer formation depends on factors such as dosha imbalance, local trauma, poor hygiene, and systemic debility, and he recommends correcting the underlying internal disturbance along with local treatment. The text prescribes cleansing washes, debridement where necessary, and the application of medicated ointments, pastes, and powders to promote granulation, reduce pain, and prevent suppuration. He also emphasizes regular dressing changes, protection from dust and moisture, and regulation of diet and lifestyle to support tissue repair and prevent chronicity."
